(Model,Model,1)
(ID,myWorld,1)
({,{,1)
(Open,Open,2)
(void,void,2)
(ID,ff,2)
((,(,2)
(),),2)
({,{,2)
(if,if,3)
((,(,3)
(ID,a,3)
(.,.,3)
(call,call,3)
(ID,a,3)
((,(,3)
(ID,a,3)
(.,.,3)
(ID,b,3)
(.,.,3)
(ID,a,3)
([,[,3)
(ID,i,3)
(],],3)
(.,.,3)
(call,call,3)
(ID,a,3)
((,(,3)
(ID,a,3)
(.,.,3)
(call,call,3)
(ID,a,3)
((,(,3)
(ID,a,3)
([,[,3)
(call,call,3)
(ID,a,3)
((,(,3)
(ID,a,3)
(PlusMinus,+,3)
(call,call,3)
(ID,a,3)
((,(,3)
(),),3)
(),),3)
(],],3)
(),),3)
(),),3)
(),),3)
(RelOpr,<=,3)
(call,call,3)
(ID,dd,3)
((,(,3)
(),),3)
(),),3)
({,{,3)
(DT,num,4)
(ID,f,4)
(=,=,4)
(IntConst,5,4)
(;,;,4)
(},},5)
(or,or,5)
({,{,5)
(DT,num,6)
(ID,k,6)
(=,=,6)
(IntConst,4,6)
(;,;,6)
(ID,a,7)
([,[,7)
(IntConst,6,7)
(],],7)
(=,=,7)
(IntConst,9,7)
(;,;,7)
(},},10)
(return,return,11)
(ID,a,11)
(;,;,11)
(},},12)
(},},13)
(Main_Model,Main_Model,14)
(ID,abb,14)
({,{,14)
(DT,sentence,15)
(ID,d,15)
(=,=,15)
(StringConst,"adddd\nd",15)
(;,;,15)
(DT,word,16)
(ID,a,16)
(=,=,16)
(CharConst,'d',16)
(;,;,16)
(DT,num,17)
(ID,f,17)
(=,=,17)
(IntConst,33,17)
(;,;,17)
(Start,Start,18)
({,{,18)
(call,call,19)
(ID,trump,19)
((,(,19)
(IntConst,6,19)
(,,,,19)
(call,call,19)
(ID,gh,19)
((,(,19)
(),),19)
(),),19)
(;,;,19)
(call,call,20)
(ID,trupf,20)
((,(,20)
(call,call,20)
(ID,fg,20)
((,(,20)
(),),20)
(),),20)
(;,;,20)
(ID,a,21)
(=,=,21)
(ID,b,21)
(=,=,21)
(IntConst,9,21)
(,,,,21)
(ID,v,21)
(;,;,21)
(ID,a,22)
(,,,,22)
(ID,b,22)
(;,;,22)
(loop,loop,23)
((,(,23)
(ID,a,23)
(RelOpr,==,23)
(IntConst,3,23)
(,,,,23)
(IntConst,6,23)
(),),23)
({,{,23)
(DT,num,24)
(ID,a,24)
(=,=,24)
(IntConst,9,24)
(;,;,24)
(call,call,25)
(ID,a,25)
((,(,25)
(),),25)
(;,;,25)
(},},26)
(Open,Open,27)
(void,void,27)
(ID,rump,27)
((,(,27)
(void,void,27)
(ID,a,27)
(,,,,27)
(DT,num,27)
(ID,b,27)
(),),27)
({,{,27)
(return,return,28)
(call,call,28)
(ID,d,28)
((,(,28)
(call,call,28)
(ID,d,28)
((,(,28)
(),),28)
(,,,,28)
(ID,a,28)
(.,.,28)
(ID,b,28)
(),),28)
(;,;,28)
(},},30)
(},},31)
(Stop,Stop,31)
(},},32)
($,$,33)
